LP.,Podział administracyjny,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
1,Polska,9715,338,8780,301,296
2,DOLNOŚLĄSKIE,517,33,440,18,26
3,bolesławiecki,54,6,46,1,1
4,dzierżoniowski,3,0,3,0,0
5,głogowski,12,1,11,0,0
6,górowski,14,0,14,0,0
7,jaworski,7,0,7,0,0
8,Jelenia Góra,11,2,8,0,1
9,jeleniogórski,37,1,33,1,2
10,kamiennogórski,18,1,15,0,2
11,kłodzki,56,2,48,1,5
12,Legnica,0,0,0,0,0
13,legnicki,15,1,10,3,1
14,lubański,15,0,13,0,2
15,lubiński,28,0,24,3,1
16,lwówecki,11,0,10,1,0
17,milicki,28,3,24,0,1
18,oleśnicki,25,1,19,4,1
19,oławski,20,1,18,1,0
20,polkowicki,32,2,29,1,0
21,strzeliński,0,0,0,0,0
22,średzki,4,0,2,0,2
23,świdnicki,14,1,13,0,0
24,trzebnicki,10,1,8,0,1
25,Wałbrzych,16,0,13,0,3
26,wałbrzyski,10,1,9,0,0
27,wołowski,8,3,5,0,0
28,Wrocław,8,0,8,0,0
29,wrocławski,17,1,13,2,1
30,ząbkowicki,13,1,11,0,1
31,zgorzelecki,26,4,22,0,0
32,złotoryjski,5,0,4,0,1
33,KUJAWSKO-POMORSKIE,510,10,473,18,9
34,aleksandrowski,9,0,9,0,0
35,brodnicki,8,0,8,0,0
36,bydgoski,76,1,70,4,1
37,Bydgoszcz,94,2,87,4,1
38,chełmiński,3,0,3,0,0
39,golubsko-dobrzyński,10,0,10,0,0
40,Grudziądz,5,0,3,0,2
41,grudziądzki,8,0,8,0,0
42,inowrocławski,5,0,3,0,2
43,lipnowski,13,0,13,0,0
44,mogileński,8,1,6,1,0
45,nakielski,17,0,17,0,0
46,radziejowski,2,0,2,0,0
47,rypiński,8,0,8,0,0
48,sępoleński,1,0,1,0,0
49,świecki,40,0,33,7,0
50,Toruń,29,1,26,0,2
51,toruński,36,1,34,1,0
52,tucholski,19,0,19,0,0
53,wąbrzeski,2,0,2,0,0
54,Włocławek,49,2,47,0,0
55,włocławski,52,1,49,1,1
56,żniński,16,1,15,0,0
57,LUBELSKIE,506,29,443,16,18
58,bialski,103,1,99,3,0
59,Biała Podlaska,11,1,10,0,0
60,biłgorajski,41,5,36,0,0
61,Chełm,0,0,0,0,0
62,chełmski,15,1,12,0,2
63,hrubieszowski,0,0,0,0,0
64,janowski,10,1,9,0,0
65,krasnostawski,4,1,2,1,0
66,kraśnicki,6,0,5,0,1
67,lubartowski,39,3,30,4,2
68,lubelski,13,0,11,1,1
69,Lublin,1,0,0,0,1
70,łęczyński,21,1,19,0,1
71,łukowski,28,0,27,0,1
72,opolski,52,6,40,5,1
73,parczewski,12,0,11,0,1
74,puławski,66,3,61,1,1
75,radzyński,8,0,8,0,0
76,rycki,24,1,22,0,1
77,świdnicki,16,2,12,0,2
78,tomaszowski,7,0,6,0,1
79,włodawski,22,3,16,1,2
80,zamojski,7,0,7,0,0
81,Zamość,0,0,0,0,0
82,LUBUSKIE,516,14,467,20,15
83,gorzowski,21,2,16,2,1
84,Gorzów Wielkopolski,2,0,1,0,1
85,krośnieński,56,0,54,1,1
